Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,, 
1970,6500,,Ford Mk IV,Sizzlers,,,,,
1970,6501,,Angeleno M70,Sizzlers,,,,,
1970,6502,,Mustang Boss 302,Sizzlers,,,,,
1970,6503,,Firebird Trans-Am,Sizzlers,,,,,
1970,6504,,Revvin' Heaven,Sizzlers,,,,,
1970,6505,,Hot Head,Sizzlers,,,,,
1970,6651,,Ferrari P4,Sizzlers,,,,,
1970,6652,,Porsche Carrera 10,Sizzlers,,,,,
1970,6509,,Pacific/8 Race Set,Sizzlers,,,,,
1970,6510,,National Champ Race Set,Sizzlers,,,,,
1970,6511,,Juice Machine,Sizzlers,,,,,
1970,6512,,Laguna Oval Set,Sizzlers,,,,,
1970,6513,,Newport Pacer Set,Sizzlers,,,,,
1970,6514,,California 8 Race Set,Sizzlers,,,,,
1970,6519,,Side-Burn,Sizzlers,,,,,
1970,6520,,Spoil Sport,Sizzlers,,,,,
1970,6526,,Back Fire,Sizzlers,,,,,
1970,6527,,Anteater,Sizzlers,,,,,
1970,6528,,'Cuda Trans-Am,Sizzlers,,,,,
1970,6529,,Camaro Trans-Am,Sizzlers,,,,,
1970,6532,,Indy Eagle,Sizzlers,,,,,
1970,6535,,March Formula 1,Sizzlers,,,,,
1970,6538,,Ferrari Can-Am,Sizzlers,,,,,
1970,6550,,Live Wire,Sizzlers,,,,,
1970,6551,,Straight Scoop,Sizzlers,,,,,
1970,6552,,Hot Wings,Sizzlers,,,,,
1970,6009,,"Big ""O"" Race Set",Sizzlers,,,,,
1970,6543,,High-Winder Set,Sizzlers,,,,,
1970,6559,,"Big ""O"" Layout",Sizzlers,,,,,
1970,6560,,Fat Track California 500 Layout,Sizzlers,,,,,
1970,6562,,Fat Track California 500 Race Set,Sizzlers,,,,,
1970,6563,,Fat Track Super Circuit Race Set,Sizzlers,,,,,
1970,,,Juice Machine,Sizzlers,,,,,
1970,5879,,Flat Out,Sizzlers,,,,,
1970,5884,,Up-Roar,Sizzlers,,,,,
1970,5885,,Double Boiler,Sizzlers,,,,,
1970,6553,,Co-Motion,Sizzlers,,,,,
1970,K4769,,,Sizzlers,,,,,
1970,K4770,,,Sizzlers,,,,,
1970,K4771,,,Sizzlers,,,,,
1970,K4772,,,Sizzlers,,,,,
1970,K4773,,,Sizzlers,,,,,
1970,K4774,,,Sizzlers,,,,,
1970,K4775,,,Sizzlers,,,,,
1970,K4776,,,Sizzlers,,,,,
1970,K4777,,,Sizzlers,,,,,
1970,K4778,,,Sizzlers,,,,,
1970,K4779,,,Sizzlers,,,,,
1970,K4780,,,Sizzlers,,,,,
1970,K4575,,Juice Machine,Sizzlers,,,,,
1970,K5450,,"Giant ""O"" Race Set",Sizzlers,,,,,
1970,L2804,,,Sizzlers,,,,,
1970,L2805,,,Sizzlers,,,,,
1970,L2806,,,Sizzlers,,,,,
1970,L2807,,,Sizzlers,,,,,
1972,,,,Chopcycles,,,,,
1972,,,,Chopcycles,,,,,
1972,,,,Chopcycles,,,,,
1972,,,,Chopcycles,,,,,
1972,,,,Chopcycles,,,,,
1972,,,,Chopcycles,,,,,
1972,,,,Chopcycles,,,,,
1972,,,,Chopcycles,,,,,
1972,,,,Chopcycles,,,,,
1971,,,Sky Scraper,Hot Birds,,,,,
1971,,,Cloud Hopper,Hot Birds,,,,,
1971,,,Star Grazer,Hot Birds,,,,,
1971,,,Ski Gull,Hot Birds,,,,,
1971,,,Maching Bird,Hot Birds,,,,,
1971,,,Regal Eagle,Hot Birds,,,,,
1971,,,Collector's Case,Hot Birds,,,,,
1971,,,Control Tower,Hot Birds,,,,,
1971,,,Sky Line & Hook Pak,Hot Birds,,,,,
1971,,,Flight Deck,Hot Birds,,,,,
1971,,,Joy Rider,Hot Birds,,,,,
1971,,,Air Race Set,Hot Birds,,,,,
1971,,,Sky Command Set,Hot Birds,,,,,
1971,,,Sky Solo Set,Hot Birds,,,,,
1971,,,On Target Set,Hot Birds,,,,,
1971,,,Speed Chief,Hot Line,,,,,
1971,,,Tail Waggin',Hot Line,,,,,
1971,,,Freight Crate,Hot Line,,,,,
1971,,,Rockin' Roller,Hot Line,,,,,
1971,,,Mad Flatter,Hot Line,,,,,
1971,,,Folks Wagon,Hot Line,,,,,
1971,,,Train Case,Hot Line,,,,,
1971,,,Railtrack Pak,Hot Line,,,,,
1971,,,Curve Pak,Hot Line,,,,,
1971,,,Rail-Router,Hot Line,,,,,
1971,,,Signal Tower,Hot Line,,,,,
1971,,,Big Tipper,Hot Line,,,,,
1971,,,Bridge 2-Pak,Hot Line,,,,,
1971,,,Quick-Switch Pak,Hot Line,,,,,
1971,,,Thunder Run,Hot Line,,,,,
1971,,,Mighty Mover,Hot Line,,,,,
1971,,,Great Freight,Hot Line,,,,,
1971,,,High-Tail Hauleror Hurricane Hauler,Hot Line,,,,,
1971,,,Rolling Stock Assortment Pak,Hot Line,,,,,
1971,,,Train Car Pak,Hot Line,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1971,,,,RRRumblers,,,,,
1974,6963,,,Flying Colors,,,,,
1974,6964,,,Flying Colors,,,,,
1974,6965,,,Flying Colors,,,,,
1974,6965,,,Flying Colors,,,,,
1974,6966,,,Flying Colors,,,,,
1974,6968,,,Flying Colors,,,,,
1974,6968,,,Flying Colors,,,,,
1974,6972,,,Flying Colors,,,,,
1974,6972,,,Flying Colors,,,,,
1974,6973,,,Flying Colors,,,,,
1974,6976,,,Flying Colors,,,,,
1974,6976,,,Flying Colors,,,,,
1974,6978,,,Flying Colors,,,,,
1974,6980,,,Flying Colors,,,,,
1974,6980,,,Flying Colors,,,,,
1974,7616,,,Flying Colors,,,,,
1974,7616,,,Flying Colors,,,,,
1974,7616,,,Flying Colors,,,,,
1974,7616,,,Flying Colors,,,,,
1974,7617,,,Flying Colors,,,,,
1974,7617,,,Flying Colors,,,,,
1974,7618,,,Flying Colors,,,,,
1974,7619,,,Flying Colors,,,,,
1974,7619,,,Flying Colors,,,,,
1974,7620,,,Flying Colors,,,,,
1974,7620,,,Flying Colors,,,,,
1974,7621,,,Flying Colors,,,,,
1974,7622,,,Flying Colors,,,,,
1974,7630,,,Flying Colors,,,,,
1974,8258,,,Flying Colors,,,,,
1974,8258,,,Flying Colors,,,,,
1974,8258,,,Flying Colors,,,,,
1974,8259,,,Flying Colors,,,,,
1974,8259,,,Flying Colors,,,,,
1974,8260,,,Flying Colors,,,,,
1974,8260,,,Flying Colors,,,,,
1974,8261,,,Flying Colors,,,,,
1974,8261,,,Flying Colors,,,,,
1974,8261,,,Flying Colors,,,,,
1974,8263,,,Flying Colors,,,,,
1974,8273,,,Flying Colors,,,,,
1974,8273,,,Flying Colors,,,,,
1974,8273,,,Flying Colors,,,,,
1974,8273,,,Flying Colors,,,,,
1974,6967,,,Flying Colors,,,,,
1974,6967,,,Flying Colors,,,,,
1974,7622,,,Flying Colors,,,,,
1974,7644,,,Flying Colors,,,,,
1974,7644,,,Flying Colors,,,,,
1974,7644,,,Flying Colors,,,,,
1974,7647,,,Flying Colors,,,,,
1974,7648,,,Flying Colors,,,,,
1974,7649,,,Flying Colors,,,,,
1974,7649,,,Flying Colors,,,,,
1974,7649,,,Flying Colors,,,,,
1974,7649,,,Flying Colors,,,,,
1974,7649,,,Flying Colors,,,,,
1974,7650,,,Flying Colors,,,,,
1974,7651,,,Flying Colors,,,,,
1974,7651,,,Flying Colors,,,,,
1974,7652,,,Flying Colors,,,,,
1974,7653,,,Flying Colors,,,,,
1974,7653,,,Flying Colors,,,,,
1974,7654,,,Flying Colors,,,,,
1974,7654,,,Flying Colors,,,,,
1974,7655,,,Flying Colors,,,,,
1974,7655,,,Flying Colors,,,,,
1974,7658,,,Flying Colors,,,,,
1974,7658,,,Flying Colors,,,,,
1974,7659,,,Flying Colors,,,,,
1974,7659,,,Flying Colors,,,,,
1974,7660,,,Flying Colors,,,,,
1974,7660,,,Flying Colors,,,,,
1974,7661,,,Flying Colors,,,,,
1974,7661,,,Flying Colors,,,,,
1974,7662,,,Flying Colors,,,,,
1974,7664,,,Flying Colors,,,,,
1974,7665,,,Flying Colors,,,,,
1974,7666,,,Flying Colors,,,,,
1974,7666,,,Flying Colors,,,,,
1974,7668,,,Flying Colors,,,,,
1974,7670,,,Flying Colors,,,,,
1974,7671,,,Flying Colors,,,,,
1974,7671,,,Flying Colors,,,,,
1974,8272,,,Flying Colors,,,,,
1974,6963,,,Flying Colors,,,,,
1974,6972,,,Flying Colors,,,,,
1974,6972,,,Flying Colors,,,,,
1974,6973,,,Flying Colors,,,,,
1974,6976,,,Flying Colors,,,,,
1974,6978,,,Flying Colors,,,,,
1974,7648,,,Flying Colors,,,,,
1974,7650,,,Flying Colors,,,,,
1974,7664,,,Flying Colors,,,,,
1974,7665,,,Flying Colors,,,,,
1974,7966,,,Flying Colors,,,,,
1974,8235,,,Flying Colors,,,,,
1974,8240,,,Flying Colors,,,,,
1974,8258,,,Flying Colors,,,,,
1974,8258,,,Flying Colors,,,,,
1974,8259,,,Flying Colors,,,,,
1974,9037,,,Flying Colors,,,,,
1974,9088,,,Flying Colors,,,,,
1974,9089,,,Flying Colors,,,,,
1974,9090,,,Flying Colors,,,,,
1974,9118,,,Flying Colors,,,,,
1974,9119,,,Flying Colors,,,,,
1974,9120,,,Flying Colors,,,,,
1974,9183,,,Flying Colors,,,,,
1974,9183,,,Flying Colors,,,,,
1974,9184,,,Flying Colors,,,,,
1974,9185,,,Flying Colors,,,,,
1974,9186,,,Flying Colors,,,,,
1974,9240,,,Flying Colors,,,,,
1974,9241,,,Flying Colors,,,,,
1974,9242,,,Flying Colors,,,,,
1974,9243,,,Flying Colors,,,,,
1974,9244,,,Flying Colors,,,,,
1974,6963,,,Flying Colors,,,,,
1974,6964,,,Flying Colors,,,,,
1974,7966,,,Flying Colors,,,,,
1974,6972,,,Flying Colors,,,,,
1974,9639,,,Flying Colors,,,,,
1974,9639,,,Flying Colors,,,,,
1974,6976,,,Flying Colors,,,,,
1974,6976,,,Flying Colors,,,,,
1974,6976,,,Flying Colors,,,,,
1974,6978,,,Flying Colors,,,,,
1974,6980,,,Flying Colors,,,,,
1974,9638,,,Flying Colors,,,,,
1974,9638,,,Flying Colors,,,,,
1974,7621,,,Flying Colors,,,,,
