Year,Toy #,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2025,HYW18,,,,,,,,,
2025,HYX57,,,,,,,,,
2025,HYW60,,,,,,,,,
2025,HYX61,,,,,,,,,
2025,HYW61,,,,,,,,,
2025,HYX62,,,,,,,,,
2025,HYY72,,,,,,,,,
2025,HYW63,,,,,,,,,
2025,HYX55,,,,,,,,,
2025,HYW64,,,,,,,,,
2025,HYX75,,,,,,,,,
2025,HYW65,,,,,,,,,
2025,HYY40,,,,,,,,,
2025,HYX56,,,,,,,,,
2025,HYW66,,,,,,,,,
2025,HYY10,,,,,,,,,
2025,HYX45,,,,,,,,,
2025,HYW86,,,,,,,,,
2025,HYX58,,,,,,,,,
2025,HYW67,,,,,,,,,
2025,HYX47,,,,,,,,,
2025,HYW14,,,,,,,,,
2025,HYX95,,,,,,,,,
2025,HYW68,,,,,,,,,
2025,HYY11,,,,,,,,,
2025,HYW69,,,,,,,,,
2025,HYX66,,,,,,,,,
2025,HYW70,,,,,,,,,
2025,HYY31,,,,,,,,,
2025,HYX67,,,,,,,,,
2025,HYW13,,,,,,,,,
2025,HYY33,,,,,,,,,
2025,HYX48,,,,,,,,,
2025,HYW72,,,,,,,,,
2025,JBC35,,,,,,,,,
2025,JBC20,,,,,,,,,
2025,HYW71,,,,,,,,,
2025,HYX49,,,,,,,,,
2025,HYW12,,,,,,,,,
2025,HYW73,,,,,,,,,
2025,HYY32,,,,,,,,,
2025,HYX50,,,,,,,,,
2025,HYW74,,,,,,,,,
2025,HYX51,,,,,,,,,
2025,HYW75,,,,,,,,,
2025,HYX52,,,,,,,,,
2025,HYW76,,,,,,,,,
2025,HYW77,,,,,,,,,
2025,HYY39,,,,,,,,,
2025,,,,,,,,,,
2025,HYW78,,,,,,,,,
2025,HYX53,,,,,,,,,
2025,HYW79,,,,,,,,,
2025,HYY30,,,,,,,,,
2025,HYX54,,,,,,,,,
2025,HYW80,,,,,,,,,
2025,HYW81,,,,,,,,,
2025,HYY38,,,,,,,,,
2025,HYX90,,,,,,,,,
2025,HYW82,,,,,,,,,
2025,HYX60,,,,,,,,,
2025,HYW83,,,,,,,,,
2025,HYW84,,,,,,,,,
2025,JBC21,,,,,,,,,
2025,HYW85,,,,,,,,,
2025,HYW19,,,,,,,,,
2025,JBB93,,,,,,,,,
2025,HYY87,,,,,,,,,
2025,HYX65,,,,,,,,,
2025,HYW88,,,,,,,,,
2025,HYX59,,,,,,,,,
2025,HYW89,,,,,,,,,
2025,HYX85,,,,,,,,,
2025,HYW90,,,,,,,,,
2025,HYW91,,,,,,,,,
2025,HYY42,,,,,,,,,
2025,HYW92,,,,,,,,,
2025,HYW93,,,,,,,,,
2025,HYY45,,,,,,,,,
2025,HYW17,,,,,,,,,
2025,HYX68,,,,,,,,,
2025,HYW94,,,,,,,,,
2025,HYW95,,,,,,,,,
2025,HYY13,,,,,,,,,
2025,HYW96,,,,,,,,,
2025,HYY15,,,,,,,,,
2025,HYW97,,,,,,,,,
2025,JBC36,,,,,,,,,
2025,HYW98,,,,,,,,,
2025,HYW99,,,,,,,,,
2025,HYY12,,,,,,,,,
2025,JBB55,,,,,,,,,
2025,HYX00,,,,,,,,,
2025,HYW16,,,,,,,,,
2025,JBB56,,,,,,,,,
2025,HYX01,,,,,,,,,
2025,HYX02,,,,,,,,,
2025,HYY43,,,,,,,,,
2025,JBB60,,,,,,,,,
2025,HYX03,,,,,,,,,
2025,HYX04,,,,,,,,,
2025,HYX81,,,,,,,,,
2025,HYX05,,,,,,,,,
2025,HYX26,,,,,,,,,
2025,JBC22,,,,,,,,,
2025,HYW21,,,,,,,,,
2025,HYX76,,,,,,,,,
2025,HYW10,,,,,,,,,
2025,JBC07,,,,,,,,,
2025,HYX78,,,,,,,,,
2025,HYX06,,,,,,,,,
2025,HYX64,,,,,,,,,
2025,HYX07,,,,,,,,,
2025,JBC37,,,,,,,,,
2025,JJB80,,,,,,,,,
2025,HYY44,,,,,,,,,
2025,JBB66,,,,,,,,,
2025,HYX09,,,,,,,,,
2025,HYX86,,,,,,,,,
2025,HYX10,,,,,,,,,
2025,,,,,,,,,,
2025,HYX11,,,,,,,,,
2025,HYY06,,,,,,,,,
2025,HYW20,,,,,,,,,
2025,HYX12,,,,,,,,,
2025,JHV10,,,,,,,,,
2025,HYX69,,,,,,,,,
2025,HYX14,,,,,,,,,
2025,HYX70,,,,,,,,,
2025,HYX15,,,,,,,,,
2025,HYX71,,,,,,,,,
2025,HYX16,,,,,,,,,
2025,HYX72,,,,,,,,,
2025,HYY16,,,,,,,,,
2025,HYW15,,,,,,,,,
2025,HYX46,,,,,,,,,
2025,JBB16,,,,,,,,,
2025,HYY41,,,,,,,,,
2025,HYX17,,,,,,,,,
2025,HYX19,,,,,,,,,
2025,JBB58,,,,,,,,,
2025,HYX20,,,,,,,,,
2025,HYX21,,,,,,,,,
2025,HYY14,,,,,,,,,
2025,HYX22,,,,,,,,,
2025,HYX73,,,,,,,,,
2025,HYY27,,,,,,,,,
2025,HYX23,,,,,,,,,
2025,HYX74,,,,,,,,,
2025,JBB18,,,,,,,,,
2025,HYX25,,,,,,,,,
2025,HYW31,,,,,,,,,
2025,HYX91,,,,,,,,,
2025,HYX27,,,,,,,,,
2025,HYY73,,,,,,,,,
2025,,,,,,,,,,
2025,HYX29,,,,,,,,,
2025,HYX83,,,,,,,,,
2025,HYX30,,,,,,,,,
2025,JBB64,,,,,,,,,
2025,HYY28,,,,,,,,,
2025,HYX31,,,,,,,,,
2025,HYX96,,,,,,,,,
2025,HYX32,,,,,,,,,
2025,HYX33,,,,,,,,,
2025,,,,,,,,,,
2025,HYW23,,,,,,,,,
2025,JBB80,,,,,,,,,
2025,HYX34,,,,,,,,,
2025,HYX77,,,,,,,,,
2025,HYX35,,,,,,,,,
2025,HYX87,,,,,,,,,
2025,HYX36,,,,,,,,,
2025,JBC38,,,,,,,,,
2025,HYX37,,,,,,,,,
2025,JBB53,,,,,,,,,
2025,JBC23,,,,,,,,,
2025,HYY54,,,,,,,,,
2025,HYX39,,,,,,,,,
2025,HYX79,,,,,,,,,
2025,HYW25,,,,,,,,,
2025,HYX80,,,,,,,,,
2025,HYX40,,,,,,,,,
2025,HYY36,,,,,,,,,
2025,HYX41,,,,,,,,,
2025,HYY03,,,,,,,,,
2025,JBC54,,,,,,,,,
2025,HYY99,,,,,,,,,
2025,HYX43,,,,,,,,,
2025,HYX44,,,,,,,,,
2025,HYW26,,,,,,,,,
2025,HYY50,,,,,,,,,
2025,HYX82,,,,,,,,,
2025,HYY51,,,,,,,,,
2025,HYY52,,,,,,,,,
2025,JBC39,,,,,,,,,
2025,HYW28,,,,,,,,,
2025,HYX84,,,,,,,,,
2025,HYY53,,,,,,,,,
2025,JBB69,,,,,,,,,
2025,JBC24,,,,,,,,,
2025,HYX38,,,,,,,,,
2025,HYY55,,,,,,,,,
2025,JBB17,,,,,,,,,
2025,JBB99,,,,,,,,,
2025,HYW27,,,,,,,,,
2025,HYY00,,,,,,,,,
2025,JBB19,,,,,,,,,
2025,HYY01,,,,,,,,,
2025,HYY49,,,,,,,,,
2025,HYY57,,,,,,,,,
2025,,,,,,,,,,
2025,HYY58,,,,,,,,,
2025,HYX88,,,,,,,,,
2025,HYY59,,,,,,,,,
2025,HYY60,,,,,,,,,
2025,JBB89,,,,,,,,,
2025,HYW22,,,,,,,,,
2025,HYX63,,,,,,,,,
2025,HYY62,,,,,,,,,
2025,HYY63,,,,,,,,,
2025,HYY64,,,,,,,,,
2025,HYY26,,,,,,,,,
2025,JBB77,,,,,,,,,
2025,HYY65,,,,,,,,,
2025,HYX89,,,,,,,,,
2025,HYY66,,,,,,,,,
2025,JBB59,,,,,,,,,
2025,HYY67,,,,,,,,,
2025,HYY68,,,,,,,,,
2025,HYY69,,,,,,,,,
2025,HYY70,,,,,,,,,
2025,HYY71,,,,,,,,,
2025,JBC40,,,,,,,,,
2025,HYY79,,,,,,,,,
2025,HYW62,,,,,,,,,
2025,HYX28,,,,,,,,,
2025,HYX93,,,,,,,,,
2025,HYY74,,,,,,,,,
2025,HYY46,,,,,,,,,
2025,HYW30,,,,,,,,,
2025,HYX97,,,,,,,,,
2025,HYY75,,,,,,,,,
2025,HYY76,,,,,,,,,
2025,HYY77,,,,,,,,,
2025,HYY78,,,,,,,,,
2025,HYW24,,,,,,,,,
2025,,,,,,,,,,
2025,JBC25,,,,,,,,,
2025,HYW41,,,,,,,,,
2025,JBC17,,,,,,,,,
2025,JBC26,,,,,,,,,
2025,HYY80,,,,,,,,,
2025,,,,,,,,,,
2025,HYY81,,,,,,,,,
2025,HYY82,,,,,,,,,
2025,HYY83,,,,,,,,,
2025,HYW35,,,,,,,,,
2025,HYY84,,,,,,,,,
2025,HYY85,,,,,,,,,
2025,HYY37,,,,,,,,,
2025,HYY86,,,,,,,,,
2025,HYY97,,,,,,,,,
2025,HYY88,,,,,,,,,
2025,HYW87,,,,,,,,,
2025,JBC41,,,,,,,,,
2025,HYY89,,,,,,,,,
2025,JBB51,,,,,,,,,
2025,HYY90,,,,,,,,,
2025,HYY91,,,,,,,,,
2025,HYW33,,,,,,,,,
2025,HYY92,,,,,,,,,
2025,JBB02,,,,,,,,,
2025,HYY93,,,,,,,,,
2025,JBB30,,,,,,,,,
2025,HYY95,,,,,,,,,
2025,HYY96,,,,,,,,,
